,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PTS,MA_FGM,MA_FGA,MA_FG_PCT,MA_FG3M,MA_FG3A,MA_FG3_PCT,MA_FTM,MA_FTA,MA_FT_PCT,MA_OREB,MA_STL,MA_MIN,MA_PLUS_MINUS,AVG_PTS,AVG_FGM,AVG_FGA,AVG_FG_PCT,AVG_FG3M,AVG_FG3A,AVG_FG3_PCT,AVG_FTM,AVG_FTA,AVG_FT_PCT,AVG_OREB,AVG_STL,AVG_MIN,AVG_PLUS_MINUS,VS_AVG_PTS,VS_AVG_FGM,VS_AVG_FGA,VS_AVG_FG_PCT,VS_AVG_FG3M,VS_AVG_FG3A,VS_AVG_FG3_PCT,VS_AVG_FTM,VS_AVG_FTA,VS_AVG_FT_PCT,VS_AVG_OREB,VS_AVG_STL,VS_AVG_MIN,VS_AVG_PLUS_MINUS,target
0,22024,1630169,0022400063,"OCT 23, 2024",IND @ DET,W,35,6,18,0.333,1,9,0.111,2,2,1.0,1,4,5,4,3,2,3,2,15,15,1,IND,1610612754,DET,1610612765,0,G,1,0,0,1,0,0,24.0,77,185,1,0,115.0,0,5,0.0,0,1,115.0,0,5,0.0,15.0,6.0,18.0,0.333,1.0,9.0,0.111,2.0,2.0,1.0,1.0,3.0,35.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,22024,1630169,0022400081,"OCT 25, 2024",IND @ NYK,L,26,0,8,0.0,0,7,0.0,0,0,0.0,0,1,1,5,1,0,1,2,0,-23,1,IND,1610612754,NYK,1610612752,0,G,1,0,0,1,0,0,24.0,77,185,1,1,106.5,1,4,23.0,1,1,115.0,0,5,21.8,7.5,3.0,13.0,0.1665,0.5,8.0,0.0555,1.0,1.0,0.5,0.5,2.0,30.5,-4.0,15.0,6.0,18.0,0.333,1.0,9.0,0.111,2.0,2.0,1.0,1.0,3.0,35.0,15.0,15.0,6.0,18.0,0.333,1.0,9.0,0.111,2.0,2.0,1.0,1.0,3.0,35.0,15.0,0
2,22024,1630169,0022400097,"OCT 27, 2024",IND vs. PHI,L,37,8,18,0.444,4,9,0.444,2,5,0.4,1,3,4,2,0,1,3,2,22,-9,1,IND,1610612754,PHI,1610612755,1,G,1,0,0,1,0,0,24.0,77,185,1,2,109.0,1,4,42.6,1,2,117.66666666666667,0,5,43.2,12.333333333333334,4.666666666666667,14.666666666666666,0.259,1.6666666666666667,8.333333333333334,0.18500000000000003,1.3333333333333333,2.3333333333333335,0.4666666666666666,0.6666666666666666,1.3333333333333333,32.666666666666664,-5.666666666666667,7.5,3.0,13.0,0.1665,0.5,8.0,0.0555,1.0,1.0,0.5,0.5,2.0,30.5,-4.0,7.5,3.0,13.0,0.1665,0.5,8.0,0.0555,1.0,1.0,0.5,0.5,2.0,30.5,-4.0,1
3,22024,1630169,0022400102,"OCT 28, 2024",IND @ ORL,L,35,6,15,0.4,4,9,0.444,3,4,0.75,3,6,9,10,1,0,1,1,19,3,1,IND,1610612754,ORL,1610612753,0,G,1,0,0,1,0,0,24.0,77,185,1,3,110.5,1,4,65.4,3,1,109.25,2,3,68.6,14.0,5.0,14.75,0.29425,2.25,8.5,0.24975,1.75,2.75,0.5375,1.25,1.25,33.25,-3.5,12.333333333333334,4.666666666666667,14.666666666666666,0.259,1.6666666666666667,8.333333333333334,0.18500000000000003,1.3333333333333333,2.3333333333333335,0.4666666666666666,0.6666666666666666,1.3333333333333333,32.666666666666664,-5.666666666666667,12.333333333333334,4.666666666666667,14.666666666666666,0.259,1.6666666666666667,8.333333333333334,0.18500000000000003,1.3333333333333333,2.3333333333333335,0.4666666666666666,0.6666666666666666,1.3333333333333333,32.666666666666664,-5.666666666666667,1
4,22024,1630169,0022400119,"OCT 30, 2024",IND vs. BOS,W,40,7,19,0.368,2,10,0.2,1,1,1.0,0,6,6,12,2,0,1,5,17,9,1,IND,1610612754,BOS,1610612738,1,G,1,0,0,1,0,0,24.0,77,185,2,3,115.4,1,4,88.4,4,1,114.4,4,1,99.4,14.6,5.4,15.6,0.309,2.2,8.8,0.2398,1.6,2.4,0.63,1.0,1.4,34.6,-1.0,14.0,5.0,14.75,0.29425,2.25,8.5,0.24975,1.75,2.75,0.5375,1.25,1.25,33.25,-3.5,14.0,5.0,14.75,0.29425,2.25,8.5,0.24975,1.75,2.75,0.5375,1.25,1.25,33.25,-3.5,1
5,22024,1630169,0022400138,"NOV 01, 2024",IND @ NOP,L,33,2,8,0.25,1,6,0.167,6,6,1.0,1,1,2,11,0,0,2,2,11,-19,1,IND,1610612754,NOP,1610612740,0,G,1,0,0,1,0,0,24.0,77,185,2,4,115.83333333333333,2,3,115.4,3,3,114.16666666666667,2,3,105.2,13.8,4.6,13.6,0.29240000000000005,2.2,8.2,0.251,2.4,3.2,0.63,1.0,0.8,34.2,-7.8,14.6,5.4,15.6,0.309,2.2,8.8,0.2398,1.6,2.4,0.63,1.0,1.4,34.6,-1.0,14.6,5.4,15.6,0.309,2.2,8.8,0.2398,1.6,2.4,0.63,1.0,1.4,34.6,-1.0,0
6,22024,1630169,0022400165,"NOV 04, 2024",IND @ DAL,W,36,10,16,0.625,2,8,0.25,3,6,0.5,0,4,4,12,2,1,2,1,25,9,1,IND,1610612754,DAL,1610612742,0,G,1,0,0,1,0,0,24.0,77,185,3,4,118.42857142857143,1,4,116.0,4,3,109.42857142857143,3,2,108.4,18.8,6.6,15.2,0.41740000000000005,2.6,8.4,0.30100000000000005,3.0,4.4,0.73,1.0,1.0,36.2,-1.4,14.0,4.833333333333333,14.333333333333334,0.29916666666666664,2.0,8.333333333333334,0.22766666666666668,2.3333333333333335,3.0,0.6916666666666668,1.0,1.1666666666666667,34.333333333333336,-4.0,14.0,4.833333333333333,14.333333333333334,0.29916666666666664,2.0,8.333333333333334,0.22766666666666668,2.3333333333333335,3.0,0.6916666666666668,1.0,1.1666666666666667,34.333333333333336,-4.0,1
7,22024,1630169,0022400170,"NOV 06, 2024",IND vs. ORL,W,37,6,11,0.545,3,5,0.6,2,2,1.0,0,3,3,4,1,0,1,4,17,6,1,IND,1610612754,ORL,1610612753,1,G,1,0,0,1,0,0,24.0,77,185,4,4,118.375,2,3,123.2,3,6,109.66666666666667,1,4,99.6,17.8,6.2,13.8,0.43760000000000004,2.4,7.6,0.3322,3.0,3.8,0.85,0.8,1.2,36.2,1.6,15.571428571428571,5.571428571428571,14.571428571428571,0.3457142857142857,2.0,8.285714285714286,0.23085714285714287,2.4285714285714284,3.4285714285714284,0.6642857142857144,0.8571428571428571,1.2857142857142858,34.57142857142857,-2.142857142857143,19.0,6.0,15.0,0.4,4.0,9.0,0.444,3.0,4.0,0.75,3.0,1.0,35.0,3.0,1
8,22024,1630169,0022400184,"NOV 08, 2024",IND @ CHA,L,34,2,11,0.182,0,4,0.0,2,2,1.0,1,6,7,9,1,1,2,1,6,-21,1,IND,1610612754,CHA,1610612766,0,G,1,0,0,1,0,0,24.0,77,185,4,5,114.44444444444444,3,2,124.0,4,5,113.11111111111111,2,3,110.2,15.2,5.4,13.0,0.394,1.6,6.6,0.2434,2.8,3.4,0.9,0.4,1.2,36.0,-3.2,15.75,5.625,14.125,0.370625,2.125,7.875,0.277,2.375,3.25,0.70625,0.75,1.25,34.875,-1.125,15.75,5.625,14.125,0.370625,2.125,7.875,0.277,2.375,3.25,0.70625,0.75,1.25,34.875,-1.125,0
9,22024,1630169,0022400203,"NOV 10, 2024",IND vs. NYK,W,35,11,18,0.611,4,10,0.4,9,11,0.818,0,2,2,14,2,0,2,1,35,12,1,IND,1610612754,NYK,1610612752,1,G,1,0,0,1,0,0,24.0,77,185,5,5,116.2,3,2,117.6,4,5,111.22222222222223,3,2,114.6,18.8,6.2,12.8,0.4426,2.0,6.6,0.2834,4.4,5.4,0.8635999999999999,0.4,1.2,35.0,-2.6,14.666666666666666,5.222222222222222,13.777777777777779,0.3496666666666667,1.8888888888888888,7.444444444444445,0.24622222222222223,2.3333333333333335,3.111111111111111,0.7388888888888889,0.7777777777777778,1.2222222222222223,34.77777777777778,-3.3333333333333335,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,-23.0,1
10,22024,1630169,0022400217,"NOV 13, 2024",IND @ ORL,L,40,3,14,0.214,2,8,0.25,1,1,1.0,0,1,1,11,0,0,4,1,9,5,1,IND,1610612754,ORL,1610612753,0,G,1,0,0,1,0,0,24.0,77,185,5,6,113.81818181818181,3,2,117.0,7,6,103.6923076923077,3,2,109.4,18.4,6.4,14.0,0.4354,2.2,7.0,0.3,3.4,4.4,0.8635999999999999,0.2,1.2,36.4,2.2,16.7,5.8,14.2,0.3758,2.1,7.7,0.2616,3.0,3.9,0.7468,0.7,1.3,34.8,-1.8,18.0,6.0,13.0,0.47250000000000003,3.5,7.0,0.522,2.5,3.0,0.875,1.5,1.0,36.0,4.5,0
