,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,0.0,0.0,0.0,0.0,22024,1628389,22400065,"OCT 23, 2024",MIA vs. ORL,L,26,1,5,0.2,0,2,0.0,7,10,0.7,3,2,5,1,0,0,0,1,9,-30,1,MIA,1610612748,ORL,1610612753,1,C-F,0,0,1,0,1,1,27.0,81,255,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,-30.0,-30.0,,9.0,,,1.0,,,5.0,,,0.2,,,0.0,,,2.0,,,0.0,,,7.0,,,10.0,,,0.7,,,3.0,,,0.0,,,26.0,,0
1,1.0,1.0,1.0,1.0,22024,1628389,22400088,"OCT 26, 2024",MIA @ CHA,W,33,6,17,0.353,0,2,0.0,0,1,0.0,4,7,11,3,1,1,1,1,12,0,1,MIA,1610612748,CHA,1610612766,0,C-F,0,0,1,0,1,1,27.0,81,255,0,1,97.0,0,5,97.0,1,1,115.0,1,4,115.0,-15.0,-30.0,9.0,9.0,9.0,1.0,1.0,1.0,5.0,5.0,5.0,0.2,0.2,0.2,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,10.0,10.0,10.0,0.7,0.7,0.7,3.0,3.0,3.0,0.0,0.0,0.0,25.516666666666666,25.516666666666666,25.516666666666666,1
2,2.0,2.0,2.0,2.0,22024,1628389,22400105,"OCT 28, 2024",MIA vs. DET,W,35,5,9,0.556,0,2,0.0,2,4,0.5,1,9,10,4,3,3,1,1,12,-3,1,MIA,1610612748,DET,1610612765,1,C-F,0,0,1,0,1,1,27.0,81,255,1,1,105.5,1,4,105.5,0,3,117.3,0,5,109.3,-11.0,-15.0,10.5,10.5,10.5,3.5,3.5,3.5,11.0,11.0,11.0,0.318,0.318,0.318,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.5,3.5,3.5,5.5,5.5,5.5,0.636,0.636,0.636,3.5,3.5,3.5,0.5,0.5,0.5,29.066666666666663,29.066666666666663,29.066666666666663,1
3,3.0,3.0,3.0,3.0,22024,1628389,22400122,"OCT 30, 2024",MIA vs. NYK,L,33,3,7,0.429,0,2,0.0,5,6,0.833,1,2,3,4,1,0,1,3,11,-9,1,MIA,1610612748,NYK,1610612752,1,C-F,0,0,1,0,1,1,27.0,81,255,2,1,105.7,2,3,105.7,1,2,113.3,1,4,112.0,-10.5,-11.0,11.0,11.0,11.0,4.0,4.0,4.0,10.333333333333334,10.333333333333334,10.333333333333334,0.387,0.387,0.387,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,5.0,5.0,0.6,0.6,0.6,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.33,1.33,1.33,30.966666666666665,30.966666666666665,30.966666666666665,0
4,4.0,4.0,4.0,4.0,22024,1628389,22400147,"NOV 02, 2024",MIA @ WAS,W,31,12,24,0.5,3,5,0.6,5,6,0.833,5,9,14,2,1,1,1,3,32,25,1,MIA,1610612748,WAS,1610612764,0,C-F,0,0,1,0,1,1,27.0,81,255,2,2,106.0,2,3,106.0,2,2,124.0,2,3,118.0,-3.4,-10.5,11.0,11.0,11.0,3.75,3.75,3.75,9.5,9.5,9.5,0.395,0.395,0.395,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.5,3.5,3.5,5.25,5.25,5.25,0.667,0.667,0.667,2.25,2.25,2.25,1.25,1.25,1.25,31.445833333333333,31.445833333333333,31.445833333333333,1
5,5.0,5.0,5.0,5.0,22024,1628389,22400159,"NOV 04, 2024",MIA vs. SAC,L,36,7,15,0.467,0,1,0.0,2,5,0.4,3,5,8,5,3,4,0,1,16,-3,1,MIA,1610612748,SAC,1610612758,1,C-F,0,0,1,0,1,1,27.0,81,255,3,2,108.4,3,2,108.4,3,3,114.7,3,2,120.4,2.0,-3.4,15.2,15.2,15.2,5.4,5.4,5.4,12.4,12.4,12.4,0.435,0.435,0.435,0.6,0.6,0.6,2.6,2.6,2.6,0.231,0.231,0.231,3.8,3.8,3.8,5.4,5.4,5.4,0.704,0.704,0.704,2.8,2.8,2.8,1.2,1.2,1.2,31.35,31.35,31.35,1
6,6.0,6.0,6.0,6.0,22024,1628389,22400178,"NOV 06, 2024",MIA @ PHX,L,34,5,21,0.238,0,1,0.0,2,2,1.0,7,5,12,6,5,1,1,2,12,0,1,MIA,1610612748,PHX,1610612756,0,C-F,0,0,1,0,1,1,27.0,81,255,3,3,108.7,3,2,111.0,6,1,110.7,5,0,113.8,2.0,-3.333333333333333,16.6,15.3,15.3,6.6,5.666666666666667,5.666666666666667,14.4,12.833333333333334,12.833333333333334,0.458,0.442,0.442,0.6,0.5,0.5,2.4,2.333333333333333,2.333333333333333,0.25,0.214,0.214,2.8,3.5,3.5,4.4,5.333333333333333,5.333333333333333,0.636,0.656,0.656,2.8,2.833333333333333,2.833333333333333,1.8,1.5,1.5,33.44,32.119444433333335,32.119444433333335,0
7,7.0,7.0,7.0,7.0,22024,1628389,22400194,"NOV 08, 2024",MIA @ DEN,L,39,7,18,0.389,1,5,0.2,5,6,0.833,2,7,9,4,2,0,3,3,20,-9,1,MIA,1610612748,DEN,1610612743,0,C-F,0,0,1,0,1,1,27.0,81,255,3,4,109.1,2,3,110.6,5,3,117.3,4,1,126.8,0.8,-2.857142857142857,16.6,14.9,14.9,6.4,5.571428571428571,5.571428571428571,15.2,14.0,14.0,0.421,0.398,0.398,0.6,0.4285714285714285,0.4285714285714285,2.2,2.142857142857143,2.142857142857143,0.273,0.2,0.2,3.2,3.2857142857142856,3.2857142857142856,4.6,4.857142857142857,4.857142857142857,0.696,0.676,0.676,3.4,3.4285714285714284,3.4285714285714284,2.6,2.0,2.0,33.803333333333335,32.45,32.45,1
8,8.0,8.0,8.0,8.0,22024,1628389,22400206,"NOV 10, 2024",MIA @ MIN,W,39,3,11,0.273,0,2,0.0,3,6,0.5,0,7,7,7,1,3,4,2,9,12,1,MIA,1610612748,MIN,1610612750,0,C-F,0,0,1,0,1,1,27.0,81,255,3,5,110.8,1,4,113.8,6,3,109.9,4,1,119.6,5.0,-3.625,18.2,15.5,15.5,6.8,5.75,5.75,17.0,14.5,14.5,0.4,0.397,0.397,0.8,0.5,0.5,2.8,2.5,2.5,0.286,0.2,0.2,3.8,3.5,3.5,5.0,5.0,5.0,0.76,0.7,0.7,3.6,3.25,3.25,2.4,2.0,2.0,34.59,33.23125,33.23125,0
9,9.0,9.0,9.0,9.0,22024,1628389,22400002,"NOV 12, 2024",MIA @ DET,L,44,8,13,0.615,1,1,1.0,3,5,0.6,6,6,12,3,0,1,1,1,20,1,1,MIA,1610612748,DET,1610612765,0,C-F,0,0,1,0,1,1,27.0,81,255,4,5,109.0,2,3,111.4,4,7,109.6,3,2,109.8,0.2,-1.8888888888888888,17.8,14.8,12.0,6.8,5.444444444444445,5.0,17.8,14.11111111111111,9.0,0.382,0.386,0.556,0.8,0.4444444444444444,0.0,2.8,2.4444444444444446,2.0,0.286,0.182,0.0,3.4,3.4444444444444446,2.0,5.0,5.111111111111111,4.0,0.68,0.674,0.5,3.4,2.888888888888889,1.0,2.4,1.89,3.0,35.803333333333335,33.86666666666667,34.766666666666666,1
10,10.0,10.0,10.0,10.0,22024,1628389,22400009,"NOV 15, 2024",MIA @ IND,W,39,10,17,0.588,2,3,0.667,8,9,0.889,1,10,11,7,5,0,2,2,30,22,1,MIA,1610612748,IND,1610612754,0,C-F,0,0,1,0,1,1,27.0,81,255,4,6,110.2,1,4,112.0,5,6,116.5,3,2,111.4,5.2,-1.6,15.4,15.3,15.3,6.0,5.7,5.7,15.6,14.0,14.0,0.385,0.407,0.407,0.4,0.5,0.5,2.0,2.3,2.3,0.2,0.217,0.217,3.0,3.4,3.4,4.8,5.1,5.1,0.625,0.667,0.667,3.6,3.2,3.2,2.2,1.7,1.7,38.32,34.835,34.835,1
11,11.0,11.0,11.0,11.0,22024,1628389,22400235,"NOV 17, 2024",MIA @ IND,L,40,9,18,0.5,2,4,0.5,4,5,0.8,6,2,8,2,0,0,2,1,24,-9,1,MIA,1610612748,IND,1610612754,0,C-F,0,0,1,0,1,1,27.0,81,255,5,6,111.5,2,3,114.8,5,7,117.2,2,3,106.8,3.4,0.5454545454545454,18.2,16.6,30.0,6.6,6.090909090909091,10.0,16.0,14.272727272727272,17.0,0.413,0.427,0.588,0.8,0.6363636363636364,2.0,2.4,2.363636363636364,3.0,0.333,0.269,0.667,4.2,3.8181818181818175,8.0,5.6,5.454545454545454,9.0,0.75,0.7,0.889,3.2,3.0,1.0,2.6,2.0,5.0,38.88,35.192424233333334,38.766666666666666,1
12,12.0,12.0,12.0,12.0,22024,1628389,22400245,"NOV 18, 2024",MIA vs. PHI,W,32,2,8,0.25,1,2,0.5,0,0,0.0,0,13,13,3,2,1,3,4,5,11,1,MIA,1610612748,PHI,1610612755,1,C-F,0,0,1,0,1,1,27.0,81,255,5,7,111.3,2,3,114.4,2,10,112.8,1,4,100.8,7.4,-0.25,20.6,17.3,17.3,7.4,6.333333333333333,6.333333333333333,15.4,14.583333333333334,14.583333333333334,0.481,0.434,0.434,1.2,0.75,0.75,3.0,2.5,2.5,0.4,0.3,0.3,4.6,3.8333333333333335,3.8333333333333335,6.2,5.416666666666667,5.416666666666667,0.742,0.708,0.708,3.0,3.25,3.25,1.6,1.83,1.83,39.93,35.56666666666667,35.56666666666667,0
13,13.0,13.0,13.0,13.0,22024,1628389,22400273,"NOV 24, 2024",MIA vs. DAL,W,38,8,20,0.4,3,6,0.5,0,0,0.0,3,8,11,5,0,0,2,2,19,4,1,MIA,1610612748,DAL,1610612742,1,C-F,0,0,1,0,1,1,27.0,81,255,6,7,110.9,3,2,111.2,9,7,109.9,4,1,119.8,5.8,0.6153846153846154,17.6,16.3,16.3,6.4,6.0,6.0,13.4,14.076923076923077,14.076923076923077,0.478,0.426,0.426,1.2,0.7692307692307693,0.7692307692307693,2.4,2.4615384615384617,2.4615384615384617,0.5,0.313,0.313,3.6,3.5384615384615383,3.5384615384615383,5.0,5.0,5.0,0.72,0.708,0.708,2.6,3.0,3.0,1.6,1.85,1.85,38.52,35.2653846,35.2653846,1
14,14.0,14.0,14.0,14.0,22024,1628389,22400036,"NOV 26, 2024",MIA vs. MIL,L,31,6,9,0.667,1,2,0.5,3,4,0.75,1,4,5,5,1,0,1,5,16,-14,1,MIA,1610612748,MIL,1610612749,1,C-F,0,0,1,0,1,1,27.0,81,255,7,7,111.8,3,2,116.8,8,9,112.9,4,1,118.2,2.8,0.8571428571428571,19.6,16.5,16.5,7.4,6.142857142857143,6.142857142857143,15.2,14.5,14.5,0.487,0.424,0.424,1.8,0.9285714285714286,0.9285714285714286,3.2,2.7142857142857144,2.7142857142857144,0.563,0.342,0.342,3.0,3.2857142857142856,3.2857142857142856,3.8,4.642857142857143,4.642857142857143,0.789,0.708,0.708,3.2,3.0,3.0,1.4,1.71,1.71,38.24,35.428571416666664,35.428571416666664,0
15,15.0,15.0,15.0,15.0,22024,1628389,22400286,"NOV 27, 2024",MIA @ CHA,W,36,3,8,0.375,0,2,0.0,2,2,1.0,1,9,10,10,2,0,3,1,8,5,1,MIA,1610612748,CHA,1610612766,0,C-F,0,0,1,0,1,1,27.0,81,255,7,8,111.2,3,2,113.2,6,11,114.0,1,4,111.0,-0.6,-0.1333333333333333,18.8,16.5,12.0,7.0,6.133333333333334,6.0,14.4,14.133333333333333,17.0,0.486,0.434,0.353,1.8,0.9333333333333332,0.0,3.4,2.6666666666666665,2.0,0.529,0.35,0.0,3.0,3.2666666666666666,0.0,3.6,4.6,1.0,0.833,0.71,0.0,2.2,2.8666666666666667,4.0,1.6,1.67,1.0,35.81666666666667,35.16222221666666,32.61666666666667,0
16,16.0,16.0,16.0,16.0,22024,1628389,22400046,"NOV 29, 2024",MIA vs. TOR,W,35,6,16,0.375,2,6,0.333,0,1,0.0,2,8,10,10,3,0,1,2,14,0,1,MIA,1610612748,TOR,1610612761,1,C-F,0,0,1,0,1,1,27.0,81,255,8,8,110.4,3,2,108.0,5,14,116.6,3,2,113.4,1.2,0.1875,14.4,15.9,15.9,5.6,5.9375,5.9375,12.6,13.75,13.75,0.444,0.432,0.432,1.4,0.875,0.875,3.2,2.625,2.625,0.438,0.333,0.333,1.8,3.1875,3.1875,2.2,4.4375,4.4375,0.818,0.718,0.718,2.2,2.75,2.75,1.0,1.69,1.69,35.27333333333333,35.217708333333334,35.217708333333334,0
17,17.0,17.0,17.0,17.0,22024,1628389,22400309,"DEC 01, 2024",MIA @ TOR,L,39,5,13,0.385,1,2,0.5,2,2,1.0,4,16,20,7,1,0,5,3,13,15,1,MIA,1610612748,TOR,1610612761,0,C-F,0,0,1,0,1,1,27.0,81,255,9,8,111.0,4,1,110.2,5,15,116.8,2,3,109.6,2.0,0.1764705882352941,12.4,15.8,14.0,5.0,5.941176470588236,6.0,12.2,13.882352941176473,16.0,0.41,0.428,0.375,1.4,0.9411764705882352,2.0,3.6,2.823529411764706,6.0,0.389,0.333,0.333,1.0,3.0,0.0,1.4,4.235294117647059,1.0,0.714,0.708,0.0,1.4,2.7058823529411766,2.0,1.6,1.76,3.0,34.25666666666667,35.18137253333333,34.6,0
