,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAM_ID,HOME_AWAY,VS_DIVISION,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,YOE,TEAM_W,TEAM_L,TEAM_W_HOME/AWAY,TEAM_L_HOME/AWAY,B2B_HOME,B2B_AWAY,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG,OPP_PPG_ALLOWED,OPP_PF,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,OPP_L5_PPG_ALLOWED,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,MA_MIN,AVG_MIN,VS_MIN,target
0,22024,1630245,0022400069,"OCT 23, 2024",CHI @ NOP,L,25,4,6,0.667,0,2,0.0,0,0,0.0,0,4,4,3,0,0,2,2,8,-13,1,CHI,1610612741,NOP,1610612740,0,0,G,1,0,0,1,0,0,25.0,77,200,3,0,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,0.0,0.0,0,5,0.0,0.0,-13.0,-13.0,,8.0,,,4.0,,,6.0,,,0.667,,,0.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,25.0,,0
1,22024,1630245,0022400083,"OCT 25, 2024",CHI @ MIL,W,28,1,8,0.125,0,5,0.0,0,0,0.0,0,5,5,5,0,1,1,1,2,10,1,CHI,1610612741,MIL,1610612749,0,1,G,1,0,0,1,0,0,25.0,77,200,3,0,1,0,1,0,0,111.0,0,5,111.0,1,0,124.0,109.0,23.0,1,4,124.0,109.0,-1.5,-13.0,8.0,8.0,8.0,4.0,4.0,4.0,6.0,6.0,6.0,0.667,0.667,0.667,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.966666666666665,24.966666666666665,24.966666666666665,0
2,22024,1630245,0022400091,"OCT 26, 2024",CHI vs. OKC,L,24,1,11,0.091,1,9,0.111,0,0,0.0,0,5,5,6,0,0,2,4,3,-5,1,CHI,1610612741,OKC,1610612760,1,0,G,1,0,0,1,0,0,25.0,77,200,3,1,1,0,0,0,0,122.0,1,4,122.0,1,0,102.0,87.0,15.0,1,4,102.0,87.0,-2.6666666666666665,-1.5,5.0,5.0,5.0,2.5,2.5,2.5,7.0,7.0,7.0,0.357,0.357,0.357,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.283333333333335,26.283333333333335,26.283333333333335,0
3,22024,1630245,0022400108,"OCT 28, 2024",CHI @ MEM,W,27,4,8,0.5,2,4,0.5,0,0,0.0,2,6,8,4,0,1,0,1,10,0,1,CHI,1610612741,MEM,1610612763,0,0,G,1,0,0,1,0,0,25.0,77,200,3,1,2,1,1,0,0,113.0,1,4,113.0,2,1,119.3,121.0,28.0,2,3,119.3,121.0,-2.0,-2.6666666666666665,4.3,4.3,4.3,2.0,2.0,2.0,8.333333333333334,8.333333333333334,8.333333333333334,0.24,0.24,0.24,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.333333333333333,5.333333333333333,5.333333333333333,0.063,0.063,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.588888883333333,25.588888883333333,25.588888883333333,1
4,22024,1630245,0022400123,"OCT 30, 2024",CHI vs. ORL,W,29,6,8,0.75,0,1,0.0,0,1,0.0,0,4,4,4,0,1,0,1,12,0,1,CHI,1610612741,ORL,1610612753,1,0,G,1,0,0,1,0,0,25.0,77,200,3,2,2,0,1,0,0,116.3,2,3,116.3,3,1,115.5,109.3,21.25,3,2,115.5,109.3,-1.6,-2.0,5.8,5.8,5.8,2.5,2.5,2.5,8.25,8.25,8.25,0.303,0.303,0.303,0.75,0.75,0.75,5.0,5.0,5.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,26.0125,26.0125,26.0125,1
5,22024,1630245,0022400136,"NOV 01, 2024",CHI @ BKN,L,27,3,11,0.273,2,7,0.286,2,2,1.0,0,7,7,3,0,0,3,4,10,-4,1,CHI,1610612741,BKN,1610612751,0,0,G,1,0,0,1,0,0,25.0,77,200,3,3,2,2,1,0,0,113.4,3,2,113.4,2,3,118.0,117.6,29.2,2,3,118.0,117.6,0.2,-1.6,7.0,7.0,7.0,3.2,3.2,3.2,8.2,8.2,8.2,0.39,0.39,0.39,0.6,0.6,0.6,4.2,4.2,4.2,0.143,0.143,0.143,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,26.64,26.64,26.64,1
6,22024,1630245,0022400160,"NOV 04, 2024",CHI vs. UTA,L,35,9,13,0.692,0,2,0.0,7,7,1.0,3,2,5,5,0,1,1,2,25,2,1,CHI,1610612741,UTA,1610612762,1,0,G,1,0,0,1,0,0,25.0,77,200,3,3,3,1,1,0,0,113.2,3,2,113.6,0,6,99.8,118.5,18.166666666666668,0,5,95.0,117.0,-1.4,-2.0,7.4,7.5,7.5,3.0,3.1666666666666665,3.1666666666666665,9.2,8.666666666666666,8.666666666666666,0.326,0.365,0.365,1.0,0.8333333333333334,0.8333333333333334,5.2,4.666666666666667,4.666666666666667,0.192,0.179,0.179,0.4,0.3333333333333333,0.3333333333333333,0.6,0.5,0.5,0.667,0.667,0.667,0.4,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,27.08,26.727777766666666,26.727777766666666,1
7,22024,1630245,0022400176,"NOV 06, 2024",CHI @ DAL,L,25,2,13,0.154,2,10,0.2,0,0,0.0,1,4,5,4,0,0,2,3,6,-31,1,CHI,1610612741,DAL,1610612742,0,0,G,1,0,0,1,0,0,25.0,77,200,3,3,4,2,2,0,0,115.0,2,3,112.2,4,3,112.7,109.4,22.857142857142858,3,2,113.4,108.6,-6.6,-1.4285714285714286,12.0,10.0,10.0,4.6,4.0,4.0,10.2,9.285714285714286,9.285714285714286,0.451,0.431,0.431,1.0,0.7142857142857143,0.7142857142857143,4.6,4.285714285714286,4.285714285714286,0.217,0.167,0.167,1.8,1.2857142857142858,1.2857142857142858,2.0,1.4285714285714286,1.4285714285714286,0.9,0.9,0.9,1.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,28.52,27.880952366666666,27.880952366666666,0
8,22024,1630245,0022400181,"NOV 07, 2024",CHI vs. MIN,L,33,5,11,0.455,1,3,0.333,2,2,1.0,2,1,3,2,1,0,1,4,13,-20,1,CHI,1610612741,MIN,1610612750,1,0,G,1,0,0,1,0,0,25.0,77,200,3,3,5,1,2,1,0,113.0,2,3,113.0,4,3,111.7,109.7,19.857142857142858,3,2,112.4,108.6,-10.6,-5.125,12.6,9.5,9.5,4.8,3.75,3.75,10.6,9.75,9.75,0.453,0.385,0.385,1.2,0.875,0.875,4.8,5.0,5.0,0.25,0.175,0.175,1.8,1.125,1.125,2.0,1.25,1.25,0.9,0.9,0.9,1.2,0.75,0.75,0.0,0.0,0.0,28.653333333333332,27.504166666666666,27.504166666666666,1
9,22024,1630245,0022400198,"NOV 09, 2024",CHI @ ATL,W,31,7,10,0.7,2,3,0.667,3,3,1.0,0,2,2,4,0,1,2,1,19,11,1,CHI,1610612741,ATL,1610612737,0,0,G,1,0,0,1,0,0,25.0,77,200,3,3,6,2,3,0,0,113.7,1,4,111.6,4,6,116.4,121.3,19.9,2,3,115.2,119.0,-8.4,-6.777777777777778,13.2,9.9,9.9,5.0,3.888888888888889,3.888888888888889,11.2,9.88888888888889,9.88888888888889,0.446,0.393,0.393,1.0,0.8888888888888888,0.8888888888888888,4.6,4.777777777777778,4.777777777777778,0.217,0.186,0.186,2.2,1.2222222222222223,1.2222222222222223,2.4,1.3333333333333333,1.3333333333333333,0.917,0.917,0.917,1.2,0.8888888888888888,0.8888888888888888,0.2,0.11,0.11,29.81,28.122222216666668,28.122222216666668,1
10,22024,1630245,0022400212,"NOV 11, 2024",CHI vs. CLE,L,31,2,8,0.25,1,4,0.25,5,6,0.833,0,3,3,4,0,0,0,1,10,-21,1,CHI,1610612741,CLE,1610612739,1,1,G,1,0,0,1,0,0,25.0,77,200,3,4,6,1,3,0,0,114.8,1,4,116.2,11,0,122.7,110.2,19.727272727272727,5,0,120.4,113.2,-11.8,-5.0,14.6,10.8,10.8,5.2,4.2,4.2,11.6,9.9,9.9,0.448,0.424,0.424,1.4,1.0,1.0,5.0,4.6,4.6,0.28,0.217,0.217,2.8,1.4,1.4,2.8,1.5,1.5,1.0,0.933,0.933,1.2,0.8,0.8,0.2,0.1,0.1,30.1,28.37,28.37,0
